Codigo,Linha,Categoria,Produto,Sabor,Peso,Preco_Atual
2243,Quatree Supreme,Cão,Cão Adulto RMG,"Frango com batata-doce, brócolis e maçã",15kg,275.50
0,Quatree Supreme,Cão,Cão Adulto RMG,"Frango com batata-doce, brócolis e maçã",20kg,355.90
0,Quatree Supreme,Cão,Cão Adulto RMG,"Frango com batata-doce, brócolis e maçã",Granel,18.90
0,Quatree Supreme,Cão,Cão Adulto RP,"Frango com batata-doce, brócolis e maçã",1kg,36.90
0,Quatree Supreme,Cão,Cão Adulto RP,"Frango com batata-doce, brócolis e maçã",2.5kg,84.90
0,Quatree Supreme,Cão,Cão Adulto RP,"Frango com batata-doce, brócolis e maçã",10.1kg,199.90
0,Quatree Supreme,Cão,Cão Adulto RP,"Frango com batata-doce, brócolis e maçã",15kg,280.50
0,Quatree Supreme,Cão,Cão Adulto RP,"Frango com batata-doce, brócolis e maçã",Granel,19.90
0,Quatree Supreme,Cão,Cão Filhote RMG,"Frango com batata-doce, brócolis e maçã",10.1kg,196.90
0,Quatree Supreme,Cão,Cão Filhote RMG,"Frango com batata-doce, brócolis e maçã",15kg,296.90
0,Quatree Supreme,Cão,Cão Filhote RMG,"Frango com batata-doce, brócolis e maçã",Granel,19.90
0,Quatree Supreme,Cão,Cão Filhote RP,"Frango com batata-doce, brócolis e maçã",1kg,38.40
0,Quatree Supreme,Cão,Cão Filhote RP,"Frango com batata-doce, brócolis e maçã",2.5kg,86.90
0,Quatree Supreme,Cão,Cão Filhote RP,"Frango com batata-doce, brócolis e maçã",10.1kg,204.90
0,Quatree Supreme,Cão,Cão Filhote RP,"Frango com batata-doce, brócolis e maçã",15kg,292.90
0,Quatree Supreme,Cão,Cão Filhote RP,"Frango com batata-doce, brócolis e maçã",Granel,19.90
0,Quatree Supreme,Cão,Cão Sênior +7 RMG,"Cordeiro e frango com linhaça e chá verde",15kg,288.90
0,Quatree Supreme,Cão,Cão Sênior +7 RMG,"Cordeiro e frango com linhaça e chá verde",Granel,19.90
0,Quatree Supreme,Cão,Cão Sênior +7 RP,"Cordeiro e frango com linhaça e chá verde",1kg,39.50
0,Quatree Supreme,Cão,Cão Sênior +7 RP,"Cordeiro e frango com linhaça e chá verde",2.5kg,89.90
0,Quatree Supreme,Cão,Cão Sênior +7 RP,"Cordeiro e frango com linhaça e chá verde",10.1kg,211.00
0,Quatree Supreme,Cão,Cão Sênior +7 RP,"Cordeiro e frango com linhaça e chá verde",Granel,21.90
0,Quatree Supreme,Cão,Cão Dermasense RMG,"Cordeiro e salmão com mandioca e maçã",15kg,328.90
0,Quatree Supreme,Cão,Cão Dermasense RMG,"Cordeiro e salmão com mandioca e maçã",Granel,22.90
0,Quatree Supreme,Cão,Cão Dermasense RP,"Cordeiro e salmão com mandioca e maçã",2.5kg,106.90
0,Quatree Supreme,Cão,Cão Dermasense RP,"Cordeiro e salmão com mandioca e maçã",10.1kg,234.90
0,Quatree Supreme,Cão,Cão Dermasense RP,"Cordeiro e salmão com mandioca e maçã",Granel,24.90
0,Quatree Supreme,Cão,Cão Light Castrado RMG,"Frango e salmão com brócolis e batata-doce",15kg,299.90
0,Quatree Supreme,Cão,Cão Light Castrado RMG,"Frango e salmão com brócolis e batata-doce",Granel,20.90
0,Quatree Supreme,Cão,Cão Light Castrado RP,"Frango e salmão com brócolis e batata-doce",2.5kg,86.90
0,Quatree Supreme,Cão,Cão Light Castrado RP,"Frango e salmão com brócolis e batata-doce",10.1kg,216.90
0,Quatree Supreme,Cão,Cão Light Castrado RP,"Frango e salmão com brócolis e batata-doce",Granel,21.90
0,Quatree Supreme,Gato,Gato Adulto,"Salmão com batata-doce, brócolis e maçã",2.5kg,80.90
0,Quatree Supreme,Gato,Gato Adulto,"Salmão com batata-doce, brócolis e maçã",10.1kg,238.90
0,Quatree Supreme,Gato,Gato Adulto,"Salmão com batata-doce, brócolis e maçã",15kg,313.90
0,Quatree Supreme,Gato,Gato Adulto,"Salmão com batata-doce, brócolis e maçã",Granel,24.90
0,Quatree Supreme,Gato,Gato Filhote,"Salmão com batata-doce, brócolis e maçã",10.1kg,243.90
0,Quatree Supreme,Gato,Gato Filhote,"Salmão com batata-doce, brócolis e maçã",Granel,26.90
0,Quatree Supreme,Gato,Gato Castrado Frango,"Frango com batata-doce, brócolis e maçã",2.5kg,86.90
0,Quatree Supreme,Gato,Gato Castrado Frango,"Frango com batata-doce, brócolis e maçã",10.1kg,240.90
0,Quatree Supreme,Gato,Gato Castrado Frango,"Frango com batata-doce, brócolis e maçã",15kg,321.90
0,Quatree Supreme,Gato,Gato Castrado Frango,"Frango com batata-doce, brócolis e maçã",Granel,25.90
0,Quatree Supreme,Gato,Gato Castrado Salmão,"Salmão com batata-doce, brócolis e maçã",2.5kg,86.90
0,Quatree Supreme,Gato,Gato Castrado Salmão,"Salmão com batata-doce, brócolis e maçã",10.1kg,240.90
0,Quatree Supreme,Gato,Gato Castrado Salmão,"Salmão com batata-doce, brócolis e maçã",15kg,321.90
0,Quatree Supreme,Gato,Gato Castrado Salmão,"Salmão com batata-doce, brócolis e maçã",Granel,25.90
0,Quatree Supreme,Gato,Gato Sênior +7,"Salmão e frango com linhaça e chá verde",10.1kg,253.90
0,Quatree Supreme,Gato,Gato Sênior +7,"Salmão e frango com linhaça e chá verde",Granel,27.90
0,Quatree Supreme,Sachê,Sachê Cão Carne,Carne,100g,3.90
0,Quatree Supreme,Sachê,Sachê Cão Cordeiro,Cordeiro,100g,3.90
0,Quatree Supreme,Sachê,Sachê Cão Frango,Frango,100g,3.90
0,Quatree Supreme,Sachê,Sachê Gato Carne,Carne,100g,3.90
0,Quatree Supreme,Sachê,Sachê Gato Frango,Frango,100g,3.90
0,Quatree Supreme,Sachê,Sachê Gato Peixe,Peixe,100g,3.90
0,Quatree Life,Cão,Cão Adulto RMG,Frango e Arroz,15kg,218.90
0,Quatree Life,Cão,Cão Adulto RMG,Frango e Arroz,20kg,283.90
0,Quatree Life,Cão,Cão Adulto RMG,Frango e Arroz,Granel,14.90
0,Quatree Life,Cão,Cão Adulto RP,Frango e Arroz,1kg,28.50
0,Quatree Life,Cão,Cão Adulto RP,Frango e Arroz,3kg,76.90
0,Quatree Life,Cão,Cão Adulto RP,Frango e Arroz,10.1kg,154.90
0,Quatree Life,Cão,Cão Adulto RP,Frango e Arroz,15kg,222.90
0,Quatree Life,Cão,Cão Adulto RP,Frango e Arroz,20kg,289.90
0,Quatree Life,Cão,Cão Adulto RP,Frango e Arroz,Granel,15.90
0,Quatree Life,Cão,Cão Filhote RMG,Frango e Arroz,3kg,75.60
0,Quatree Life,Cão,Cão Filhote RMG,Frango e Arroz,15kg,232.00
0,Quatree Life,Cão,Cão Filhote RMG,Frango e Arroz,20kg,302.20
0,Quatree Life,Cão,Cão Filhote RMG,Frango e Arroz,Granel,15.50
0,Quatree Life,Cão,Cão Filhote RP,Frango e Arroz,1kg,30.50
0,Quatree Life,Cão,Cão Filhote RP,Frango e Arroz,3kg,79.90
0,Quatree Life,Cão,Cão Filhote RP,Frango e Arroz,10.1kg,161.00
0,Quatree Life,Cão,Cão Filhote RP,Frango e Arroz,20kg,309.90
0,Quatree Life,Cão,Cão Filhote RP,Frango e Arroz,Granel,16.50
0,Quatree Life,Gato,Gato Adulto,Salmão e Arroz,1kg,33.50
0,Quatree Life,Gato,Gato Adulto,Salmão e Arroz,3kg,89.90
0,Quatree Life,Gato,Gato Adulto,Salmão e Arroz,10.1kg,191.90
0,Quatree Life,Gato,Gato Adulto,Salmão e Arroz,20kg,367.50
0,Quatree Life,Gato,Gato Adulto,Salmão e Arroz,Granel,19.90
0,Quatree Life,Gato,Gato Castrado,Salmão e Arroz,1kg,34.50
0,Quatree Life,Gato,Gato Castrado,Salmão e Arroz,3kg,93.90
0,Quatree Life,Gato,Gato Castrado,Salmão e Arroz,10.1kg,205.90
0,Quatree Life,Gato,Gato Castrado,Salmão e Arroz,20kg,392.90
0,Quatree Life,Gato,Gato Castrado,Salmão e Arroz,Granel,20.90
0,Quatree Life,Gato,Gato Filhote,Salmão e Arroz,1kg,36.90
0,Quatree Life,Gato,Gato Filhote,Salmão e Arroz,10.1kg,208.90
0,Quatree Life,Gato,Gato Filhote,Salmão e Arroz,Granel,21.90
0,Quatree Life,Gato,Gato Castrado,Frango e Arroz,1kg,34.50
0,Quatree Life,Gato,Gato Castrado,Frango e Arroz,3kg,93.90
0,Quatree Life,Gato,Gato Castrado,Frango e Arroz,10.1kg,205.90
0,Quatree Life,Gato,Gato Castrado,Frango e Arroz,20kg,392.90
0,Quatree Life,Gato,Gato Castrado,Frango e Arroz,Granel,20.90
0,Quatree Select,Cão,Cão Adulto RP Sênior +7,"Frango com Batata-Doce e Arroz",1kg,25.90
0,Quatree Select,Cão,Cão Adulto RP Sênior +7,"Frango com Batata-Doce e Arroz",3kg,70.50
0,Quatree Select,Cão,Cão Adulto RP Sênior +7,"Frango com Batata-Doce e Arroz",10.1kg,143.90
0,Quatree Select,Cão,Cão Adulto RP Sênior +7,"Frango com Batata-Doce e Arroz",15kg,205.50
0,Quatree Select,Cão,Cão Adulto RP Sênior +7,"Frango com Batata-Doce e Arroz",Granel,14.90
0,Quatree Select,Cão,Cão Adulto RP,"Frango com Batata-Doce e Arroz",1kg,24.60
0,Quatree Select,Cão,Cão Adulto RP,"Frango com Batata-Doce e Arroz",3kg,69.90
0,Quatree Select,Cão,Cão Adulto RP,"Frango com Batata-Doce e Arroz",10.1kg,125.90
0,Quatree Select,Cão,Cão Adulto RP,"Frango com Batata-Doce e Arroz",15kg,181.90
0,Quatree Select,Cão,Cão Adulto RP,"Frango com Batata-Doce e Arroz",20kg,232.90
0,Quatree Select,Cão,Cão Adulto RP,"Frango com Batata-Doce e Arroz",Granel,12.90
0,Quatree Select,Cão,Cão Filhote RMG,"Frango com Batata-Doce e Arroz",3kg,67.50
0,Quatree Select,Cão,Cão Filhote RMG,"Frango com Batata-Doce e Arroz",15kg,188.90
0,Quatree Select,Cão,Cão Filhote RMG,"Frango com Batata-Doce e Arroz",20kg,245.90
0,Quatree Select,Cão,Cão Filhote RMG,"Frango com Batata-Doce e Arroz",Granel,12.90
0,Quatree Select,Cão,Cão Filhote RP,"Frango com Batata-Doce e Arroz",1kg,26.90
0,Quatree Select,Cão,Cão Filhote RP,"Frango com Batata-Doce e Arroz",3kg,73.90
0,Quatree Select,Cão,Cão Filhote RP,"Frango com Batata-Doce e Arroz",10.1kg,139.90
0,Quatree Select,Cão,Cão Filhote RP,"Frango com Batata-Doce e Arroz",20kg,263.90
0,Quatree Select,Cão,Cão Filhote RP,"Frango com Batata-Doce e Arroz",Granel,13.90
0,Quatree Select,Cão,Cão Adulto RMG Sênior +7,"Frango com Batata-Doce e Arroz",15kg,205.90
0,Quatree Select,Cão,Cão Adulto RMG Sênior +7,"Frango com Batata-Doce e Arroz",Granel,14.90
0,Quatree Select,Cão,Cão Adulto RMG,"Frango com Batata-Doce e Arroz",15kg,181.90
0,Quatree Select,Cão,Cão Adulto RMG,"Frango com Batata-Doce e Arroz",20kg,232.90
0,Quatree Select,Cão,Cão Adulto RMG,"Frango com Batata-Doce e Arroz",Granel,12.90
0,Quatree Select,Cão,Cão Adulto Power RMG,"Frango com Batata-Doce e Arroz",15kg,209.90
0,Quatree Select,Cão,Cão Adulto Power RMG,"Frango com Batata-Doce e Arroz",Granel,15.90
0,Quatree Select,Cão,Cão Adulto RMG Carne,"Carne com Batata-Doce e Arroz",15kg,181.90
0,Quatree Select,Cão,Cão Adulto RMG Carne,"Carne com Batata-Doce e Arroz",20kg,232.90
0,Quatree Select,Cão,Cão Adulto RMG Carne,"Carne com Batata-Doce e Arroz",Granel,12.90
0,Quatree Select,Cão,Cão Adulto RP Carne,"Carne com Batata-Doce e Arroz",1kg,24.60
0,Quatree Select,Cão,Cão Adulto RP Carne,"Carne com Batata-Doce e Arroz",3kg,69.90
0,Quatree Select,Cão,Cão Adulto RP Carne,"Carne com Batata-Doce e Arroz",10.1kg,125.90
0,Quatree Select,Cão,Cão Adulto RP Carne,"Carne com Batata-Doce e Arroz",15kg,181.90
0,Quatree Select,Cão,Cão Adulto RP Carne,"Carne com Batata-Doce e Arroz",20kg,232.90
0,Quatree Select,Cão,Cão Adulto RP Carne,"Carne com Batata-Doce e Arroz",Granel,12.90
0,Quatree Select,Gato,Gato Adulto Castrado Carne,"Carne com Batata-Doce e Arroz",1kg,30.90
0,Quatree Select,Gato,Gato Adulto Castrado Carne,"Carne com Batata-Doce e Arroz",3kg,85.00
0,Quatree Select,Gato,Gato Adulto Castrado Carne,"Carne com Batata-Doce e Arroz",10.1kg,180.50
0,Quatree Select,Gato,Gato Adulto Castrado Carne,"Carne com Batata-Doce e Arroz",20kg,336.90
0,Quatree Select,Gato,Gato Adulto Castrado Carne,"Carne com Batata-Doce e Arroz",Granel,17.90
0,Quatree Select,Gato,Gato Adulto Castrado Mix de Carnes,"Mix de carnes com Batata-Doce e Arroz",1kg,34.30
0,Quatree Select,Gato,Gato Adulto Castrado Mix de Carnes,"Mix de carnes com Batata-Doce e Arroz",3kg,90.90
0,Quatree Select,Gato,Gato Adulto Castrado Mix de Carnes,"Mix de carnes com Batata-Doce e Arroz",10.1kg,203.90
0,Quatree Select,Gato,Gato Adulto Castrado Mix de Carnes,"Mix de carnes com Batata-Doce e Arroz",20kg,386.50
0,Quatree Select,Gato,Gato Adulto Castrado Mix de Carnes,"Mix de carnes com Batata-Doce e Arroz",Granel,20.90
0,Quatree Select,Gato,Gato Adulto Castrado Sênior +7,"Frango com Batata-Doce e Arroz",1kg,33.50
0,Quatree Select,Gato,Gato Adulto Castrado Sênior +7,"Frango com Batata-Doce e Arroz",3kg,93.50
0,Quatree Select,Gato,Gato Adulto Castrado Sênior +7,"Frango com Batata-Doce e Arroz",10.1kg,183.90
0,Quatree Select,Gato,Gato Adulto Castrado Sênior +7,"Frango com Batata-Doce e Arroz",Granel,18.90
0,Quatree Select,Gato,Gato Adulto Castrado Frango,"Frango com Batata-Doce e Arroz",1kg,30.90
0,Quatree Select,Gato,Gato Adulto Castrado Frango,"Frango com Batata-Doce e Arroz",3kg,85.00
0,Quatree Select,Gato,Gato Adulto Castrado Frango,"Frango com Batata-Doce e Arroz",10.1kg,180.50
0,Quatree Select,Gato,Gato Adulto Castrado Frango,"Frango com Batata-Doce e Arroz",20kg,336.90
0,Quatree Select,Gato,Gato Adulto Castrado Frango,"Frango com Batata-Doce e Arroz",Granel,17.90
0,Quatree Select,Gato,Gato Adulto Salmão,"Salmão com Batata-Doce e Arroz",1kg,28.90
0,Quatree Select,Gato,Gato Adulto Salmão,"Salmão com Batata-Doce e Arroz",3kg,82.50
0,Quatree Select,Gato,Gato Adulto Salmão,"Salmão com Batata-Doce e Arroz",10.1kg,160.50
0,Quatree Select,Gato,Gato Adulto Salmão,"Salmão com Batata-Doce e Arroz",Granel,16.90
0,Quatree Gourmet,Cão,Cão Adulto RMG,Mix de Carnes,3kg,48.90
0,Quatree Gourmet,Cão,Cão Adulto RMG,Mix de Carnes,10.1kg,96.90
0,Quatree Gourmet,Cão,Cão Adulto RMG,Mix de Carnes,15kg,139.90
0,Quatree Gourmet,Cão,Cão Adulto RMG,Mix de Carnes,20kg,179.90
0,Quatree Gourmet,Cão,Cão Adulto RMG,Mix de Carnes,Granel,10.90
0,Quatree Gourmet,Cão,Cão Adulto RP,Mix de Carnes,1kg,19.90
0,Quatree Gourmet,Cão,Cão Adulto RP,Mix de Carnes,3kg,51.90
0,Quatree Gourmet,Cão,Cão Adulto RP,Mix de Carnes,10.1kg,115.90
0,Quatree Gourmet,Cão,Cão Adulto RP,Mix de Carnes,20kg,213.90
0,Quatree Gourmet,Cão,Cão Adulto RP,Mix de Carnes,Granel,11.90
0,Quatree Gourmet,Cão,Cão Filhote,Mix de Carnes e Leite,1kg,20.90
0,Quatree Gourmet,Cão,Cão Filhote,Mix de Carnes e Leite,3kg,53.90
0,Quatree Gourmet,Cão,Cão Filhote,Mix de Carnes e Leite,10.1kg,124.90
0,Quatree Gourmet,Cão,Cão Filhote,Mix de Carnes e Leite,15kg,180.90
0,Quatree Gourmet,Cão,Cão Filhote,Mix de Carnes e Leite,20kg,235.90
0,Quatree Gourmet,Cão,Cão Filhote,Mix de Carnes e Leite,Granel,12.90
0,Quatree Gourmet,Gato,Gato Castrado,Mix de Carnes,1kg,26.90
0,Quatree Gourmet,Gato,Gato Castrado,Mix de Carnes,3kg,72.90
0,Quatree Gourmet,Gato,Gato Castrado,Mix de Carnes,10.1kg,174.90
0,Quatree Gourmet,Gato,Gato Castrado,Mix de Carnes,20kg,330.90
0,Quatree Gourmet,Gato,Gato Castrado,Mix de Carnes,Granel,17.90
0,Quatree Gourmet,Gato,Gato Castrado,Delícias do Mar,1kg,23.90
0,Quatree Gourmet,Gato,Gato Castrado,Delícias do Mar,3kg,62.90
0,Quatree Gourmet,Gato,Gato Castrado,Delícias do Mar,10.1kg,149.90
0,Quatree Gourmet,Gato,Gato Castrado,Delícias do Mar,20kg,282.90
0,Quatree Gourmet,Gato,Gato Castrado,Delícias do Mar,Granel,15.90
0,Quatree Gourmet,Gato,Gato Adulto,Peixe,1kg,21.90
0,Quatree Gourmet,Gato,Gato Adulto,Peixe,3kg,58.90
0,Quatree Gourmet,Gato,Gato Adulto,Peixe,10.1kg,139.90
0,Quatree Gourmet,Gato,Gato Adulto,Peixe,20kg,265.90
0,Quatree Gourmet,Gato,Gato Adulto,Peixe,Granel,14.90
0,Quatree Gourmet,Gato,Gato Adulto,Carne,1kg,21.90
0,Quatree Gourmet,Gato,Gato Adulto,Carne,3kg,58.90
0,Quatree Gourmet,Gato,Gato Adulto,Carne,10.1kg,139.90
0,Quatree Gourmet,Gato,Gato Adulto,Carne,20kg,265.90
0,Quatree Gourmet,Gato,Gato Adulto,Carne,Granel,14.90
0,Quatree Gourmet,Gato,Gato Adulto,Mix de Carnes,1kg,21.90
0,Quatree Gourmet,Gato,Gato Adulto,Mix de Carnes,3kg,58.90
0,Quatree Gourmet,Gato,Gato Adulto,Mix de Carnes,10.1kg,139.90
0,Quatree Gourmet,Gato,Gato Adulto,Mix de Carnes,20kg,265.90
0,Quatree Gourmet,Gato,Gato Adulto,Mix de Carnes,Granel,14.90
0,Quatree Gourmet,Gato,Gato Filhote,Carne e Leite,1kg,22.90
0,Quatree Gourmet,Gato,Gato Filhote,Carne e Leite,10.1kg,144.90
0,Quatree Gourmet,Gato,Gato Filhote,Carne e Leite,20kg,268.90
0,Quatree Gourmet,Gato,Gato Filhote,Carne e Leite,Granel,15.50
